NOV 2022,75699536000.00,18189154134.00,3523000000.00,14666154134.00,8618462000.00,3568618000.00,2041894000.00,2874733000.00,133217000.00,1237209000.00,950044026.00,2391298000.00,44313368840.00
DIC 2022,74881031000.00,16584087440.00,2595000000.00,13989087440.00,9377003999.00,4319794000.00,2261487000.00,2688312999.00,107410000.00,1970511000.00,1826044031.00,2467555000.00,42655829530.00
ENE 2023,74874471000.00,15327861247.00,1881000000.00,13446861247.00,9020018002.00,4222441000.00,2210282000.00,2277479999.00,309815003.00,3332771100.00,3686730626.00,2873986000.00,40633104025.00
FEB 2023,73165585000.00,17336463840.00,1445000000.00,15891463840.00,8757222002.00,4192538000.00,2190596000.00,2052279999.00,321808003.00,4975329100.00,7605310030.00,3055887000.00,31435373028.00
MAR 2023,72577017000.00,17068994058.00,1325000000.00,15743994058.00,8622831502.00,4124339000.00,2455278000.00,1548173999.00,495040503.00,5993064106.00,10847327516.00,3184832000.00,26859967818.00
ABR 2023,71834316000.00,16221948849.00,955000000.00,15266948849.00,8824345103.00,4410504000.00,2679147000.00,1293781999.00,440912104.00,6227960876.00,13206063869.00,3214807000.00,24139190303.00
MAY 2023,71485733000.00,14524634843.00,805000000.00,13719634843.00,8540511603.00,4421880000.00,2340250000.00,1334320999.00,444060604.00,6542107664.00,14946957334.00,3513841000.00,23417680556.00
JUN 2023,71003910000.00,13022268253.00,750000000.00,12272268253.00,8481817302.00,4604078100.00,2172753100.00,1072500999.00,632485103.00,6371059008.00,16607905622.00,3250479000.00,23270380815.00
JUL 2023,71018344000.00,11445228255.00,290000000.00,11155228255.00,9803103403.00,5448539101.00,2459726100.00,1354292999.00,540545203.00,6484956450.00,18522616372.00,3479293000.00,21283146520.00
AGO 2023,70912843000.00,10663722167.00,290000000.00,10373722167.00,10071578202.00,5664026000.00,2632615100.00,1282419999.00,492517103.00,6635516756.00,20348214771.00,3744634000.00,19449177104.00
SEP 2023,71485103000.00,11054489484.00,290000000.00,10764489484.00,10275767202.00,5987722000.00,2424408100.00,1425998999.00,437638103.00,6426561488.50,21351783134.00,3731715000.00,18644786691.50
OCT 2023,72243546000.00,10883751828.00,335000000.00,10548751828.00,10635960335.33,6111743000.00,2588392333.33,1477011999.00,458813003.00,6420389585.50,22892838247.00,3940333000.00,17470273004.17
NOV 2023,71939953000.00,10917868605.00,335000000.00,10582868605.00,10208461669.67,6244515000.00,2454284666.67,1134353000.00,375309003.00,6014942264.50,23977476889.00,4103522000.00,16717681571.83
DIC 2023,71599257000.00,10286274373.00,335000000.00,9951274373.00,10551008003.00,6242254000.00,2672253000.00,1282576000.00,353925003.00,5544009338.50,24428259475.00,4261870000.00,16527835810.50
ENE 2024,70820327000.00,9598065339.00,335000000.00,9263065339.00,10098298667.67,6029128000.00,2554702666.67,1241846000.00,272622001.00,5198220601.83,24665398151.00,4646528000.00,16613816240.50
FEB 2024,70721344000.00,7995001125.00,350000000.00,7645001125.00,10456273667.67,6782457000.00,2216676666.67,1215143000.00,241997001.00,5733639763.50,24615441855.00,4710738000.00,17210249588.83
MAR 2024,71590137000.00,7662788546.00,245000000.00,7417788546.00,10873789001.00,7119458000.00,2221564000.00,1056741000.00,476026001.00,5768988189.00,25824540649.00,5150448000.00,16309582615.00
ABR 2024,71778773000.01,7200633026.00,235000000.00,6965633026.00,10061434030.00,6632511000.00,2049282030.00,902952000.00,476689000.00,5749069473.34,26651664797.00,5099338000.00,17016633673.67
MAY 2024,72397167000.01,7319520284.00,235000000.00,7084520284.00,10683702057.00,6852913000.00,2402202057.00,942664000.00,485923000.00,5851130843.67,27096285866.00,5457660000.00,15988867949.34
JUN 2024,72659281000.00,7145056710.00,145000000.00,7000056710.00,10056286087.00,6507407000.00,2024197087.00,979713000.00,544969000.00,5743033213.00,27321284986.00,5793172000.00,16600448004.00
JUL 2024,72230614000.00,6943822077.00,195000000.00,6748822077.00,9799691823.67,6523397000.00,1825185823.67,948444000.00,502665000.00,5550149072.00,27354257330.00,5418979000.00,17163714697.33
AGO 2024,72825793000.00,7655953059.00,195000000.00,7460953059.00,9954644490.33,6796085000.00,1846070490.33,866271000.00,446218000.00,5533847851.67,27447617089.00,5238440000.00,16995290510.00
SEP 2024,74445506000.00,9744492461.00,200000000.00,9544492461.00,9720811157.00,6384948000.00,2066174157.00,819773000.00,449916000.00,5243195631.00,27072665703.00,4854110000.00,17810231048.00
OCT 2024,73394531000.00,9903191198.00,265000000.00,9638191198.00,9131107157.00,6411478000.00,1459887157.00,852363000.00,407379000.00,4823272006.00,26575337981.00,4435589000.00,18526033658.00
NOV 2024,74072940000.00,10476805374.00,390000000.00,10086805374.00,9162698490.33,6580307000.00,1350535490.33,784593000.00,447263000.00,4150073651.00,25952273389.00,4137015000.00,20194074095.67
